"","score","text","polarity"
"38",1,"@BJP4India @INCIndia @tehseenp @Awhadspeaks Narendra Modi....Get ready for payments of your hardwork of destroying… https://t.co/hocgCgTSI5","positive"
"39",1,"@CNNnews18 @AtishiAAP @BJP4India @ArvindKejriwal U were also supposed to be a highly accomplished irs officer....sh… https://t.co/E7Hlqhk4bw","positive"
"40",-1,"@MishraSanheev @AkbMs1 @BJP4India @narendramodi Really shameful they are the followers of hare Krishna not any poli… https://t.co/7k8TCEFxOM","negative"
"41",0,"@SaCh2380 @nsrao_iitr @GautamGambhir @BJP4India Yes definitely.... When compared to the lofty standards set by… https://t.co/fnqAsoRQKw","neutral"
"42",0,"@anusha_r1 @BJP4India @BJYM @Tejasvi_Surya Arrest #MamtaBanerjee, Black her mouth, Sit her on Donkey &amp; wear her Sho… https://t.co/iwtybs1UH0","neutral"
"43",0,"@BJP4India Call karo","neutral"
"44",0,"RT @BJP4India: BJP crosses the milestone of 11 million followers on Twitter. Thank you for your support. #JitegaModiJitegaBharat https://t.…","neutral"
"45",-2,"RT @BJP4India: Sadhvi Pragya Singh Thakur’s candidature from the BJP, is a satyagraha against the fake Hindu terror theory.

Read Shri @Ami…","negative"
"46",0,"The ‘award vapsi gang’ and such other Bollywood celebs say they’ll leave the country if #NarendraModi is elected.… https://t.co/0ohjT4xDKs","neutral"
"47",0,"#AayegaTohModiHi #DeshkeDilMeinModi if don't believe, must see video clip @RahulGandhi @priyankagandhi… https://t.co/MJD49ZVTmG","neutral"
"48",-2,"RT @Sunil_Deodhar: Her worst nightmare is set to become true on 23rd May when @BJP4India comes back to power with largest ever seats from W…","negative"
"49",-1,"RT @BJP4India: Rahul Gandhi's mentor Sam Pitroda justifying Sikh genocide of 1984. https://t.co/9vL9aBIB6g","negative"
"50",1,"@ashoswai Good attempt of photoshop @ashoswai 
While zooming left cheek is so transparent to show helicopters part… https://t.co/KdeFaWLzLB","positive"
"51",0,"RT @BJP4India: BJP crosses the milestone of 11 million followers on Twitter. Thank you for your support. #JitegaModiJitegaBharat https://t.…","neutral"
"52",0,"@Being_Humor 290 for @BJP4India alone","neutral"
"53",0,"@ashutosh83B @PawarSpeaks @NCPAMumbai @INCIndia @AamAadmiParty @BJP4India Uncle how much u r paid by the opposition… https://t.co/WESb2pymla","neutral"
"54",0,"RT @rajeev_mp: The last 5 yrs @narendramodi has done more to #SecureIndia n for the cause of our VETERANS n our ARMED FORCES thn all govts…","neutral"
"55",1,"@hansrajhansHRH @BJP4Delhi @BJP4India Full support hans raj hans ji ko","positive"
"56",-1,"RT @Abhi_4_Nation: Let me confirm and put my Done and Dusted tweet for Yadav Dynasty in #LS2019
1. @yadavakhilesh is losing Azamgarh 
2. Di…","negative"
"57",-1,"@ashutosh83B @AamAadmiParty @ArvindKejriwal @Saurabh_MLAgk @SanjayAzadSln @BJP4India @INCIndia When BJP loose, EVM get confused ?","negative"
"58",0,"#Rafale 
Why no FIR on Rafale deal complaint: SC

There's no prima facie @narendramodi @amitshaw @Swamy39… https://t.co/HMr3XQkPPc","neutral"
"59",0,"@SinghPramod2784 @BJP4India Votes have become intelligent. But vote seekers are reluctant to come out of their comfort zone.","neutral"
"60",0,"@SanataniGaurav @iashwathama @BJP4India @abhisar_sharma He is spreading fakenews  @IABM24x7  please do something about Abhishar sharma.","neutral"
"61",0,"@rameshbidhuri @BJP4India @BJP4Delhi @narendramodi Of course!","neutral"
"62",0,"RT @BjpBiplab: Bengal shall vote for Development, Bengal shall vote for @BJP4India.

Addressed a public programme in #Basirhat today.
#Desh…","neutral"
"63",0,"RT @SanataniGaurav: When did @BJP4India agree with that pamphlet regarding Atishi Marlena, Mr @abhisar_sharma.

Kindly stop your Dalali, yo…","neutral"
"64",0,"RT @shaziailmi: Aap’s Dirty tricks Dept at work.The same kind of filth was written about me by their trolls! Gautam Gambhir is a decent per…","neutral"
"65",-1,"RT @suhelnarvekar: While economic slowdown is one of the concerns, workers are staring at job losses due to the closure of mining operation…","negative"
"66",0,"@news24tvchannel @AmitShah @manakgupta @BJP4India @AmitShahOffice What were you doing in this last 5 years?","neutral"
"67",1,"RT @ImSarveshVerma: Disturbed minded @INCIndia u all r just playing for enjoying #SattaSukh by #YenKenPrakaren.If u all so against violence…","positive"
"68",0,"RT @priyaS84384222: Due to #GoaMining ban, the micro and small services, such as grocery stores &amp; motor mechanics, the transport services p…","neutral"
"69",2,"@nitin_gadkari @BJP4India @BJP4UP We pray to the Almighty  for your good health, you are future of the best India and party","positive"
"70",0,"RT @thewire_in: While it is yet to be established who authored the pamphlet against @AtishiAAP, the language the pamphlet uses resonates wi…","neutral"
"71",1,"RT @ashubhati19: School children in some places have difficultly in travelling between home &amp; schools as buses run or supported by mining f…","positive"
"72",-1,"RT @anusha_r1: @Tejasvi_Surya Tweeting isn't enough! And condemnation wouldn't change anything. She got arrested for posting a meme!!!!! So…","negative"
"73",-1,"RT @Lavlendrajaisw2: @BJP4India Today's indian express also published some of their reporting on this issue https://t.co/DQ4pxOKNN0","negative"
"74",0,"RT @TonySahajlain: No mainstream media will show this ""Aazadi"" slogans shouted by the Muslims! #MustWatch
#ModiHiAayega
@RahulGandhi
@naren…","neutral"
"75",0,"@_pallavighosh @sampitroda Surprised that you too thinking in such a way.....Don’t justify what he said but in the… https://t.co/0eNe7SYcKA","neutral"
"76",1,"RT @AnupAgarwal9: Where is the freedom of expression gang? Where is democracy? #ISupportPriyankaSharma @BJP4India https://t.co/29CplMmPxh
#…","positive"
"77",0,"@BDUTT @narendramodi @BJP4India @INCIndia if Ms.Dutt name is not on voter list tomorrow... It would be a national d… https://t.co/oBcA0dh6Wg","neutral"
"78",0,"@ETNOWlive @INCIndia @BJP4India Butter policing, god fathers always created such havoc, where in u need to gallop t… https://t.co/2m9fCHwkvX","neutral"
"79",0,"@TheSignOfFive @rightlog_in @Rao_InderjitS Did you know that @BJP4India candidate from #Gurgaon @Rao_InderjitS has… https://t.co/1rmNEJGVNW","neutral"
"80",-1,"RT @BJP4India: Blast from the past...

when India saw and outraged at the royally ‘austere’ private holiday trip of then PM Rajiv Gandhi wi…","negative"
"81",-1,"RT @AnkitLal: .@AamAadmiParty sends legal notice to @BJP4India and it's East Delhi candidate @GautamGambhir over derogatory content in pamp…","negative"
"82",0,"RT @Sunil_Deodhar: In the past, she has branded students who question her goons as 'naxalites'! Is this how a democratically elected  CM re…","neutral"
"83",-1,"RT @AnkitLal: .@AamAadmiParty sends legal notice to @BJP4India and it's East Delhi candidate @GautamGambhir over derogatory content in pamp…","negative"
"84",-1,"RT @SarcasticRofl: @BJP4India I found these pics, trying hard to calculate year, can you please help https://t.co/XHjxawGpG0","negative"
"85",-1,"RT @anusha_r1: @Tejasvi_Surya Tweeting isn't enough! And condemnation wouldn't change anything. She got arrested for posting a meme!!!!! So…","negative"
"86",0,"RT @MaheshwarKinnal: @GoaFront @BJP4India @INCIndia @BJP4Goa @INCGoa @goacm @PMOIndia @nstomar @AmitShah @nitin_gadkari @Goaforwardparty @T…","neutral"
"87",0,"RT @BJP4India: BJP crosses the milestone of 11 million followers on Twitter. Thank you for your support. #JitegaModiJitegaBharat https://t.…","neutral"
"88",0,"RT @suhelnarvekar: 3 lakh people have to cry for survival if mining does not resume at the earliest. 
#GoaMining #RestartGoaMining #Thursda…","neutral"
"89",0,"RT @beingAPU: If you vote for BJP in West Bengal, you will be killed.

If you Chant 'Jai Shri Ram' you will be in Jail.

If you make cartoo…","neutral"
"90",0,"@HardeepSPuri @BJYM @BJP4India @shwait_malik @Akali_Dal_ @HarsimratBadal_ @bsmajithia @PTC_Network @ZeeNews My case… https://t.co/ikcny2HvQK","neutral"
"91",0,"RT @rajeev_mp: On May12th voters of #Delhi #Haryana #Bihar #UP #Bengal #MP #Jharkand will go to vote in phase 6 of #Elections2019. 

Pls pl…","neutral"
"92",1,"RT @AnupAgarwal9: Where is the freedom of expression gang? Where is democracy? #ISupportPriyankaSharma @BJP4India https://t.co/29CplMmPxh
#…","positive"
"93",-1,"RT @RKSinhaBJP: The @Time magazine Cover is a reflection of that Western mindset, which wants to define India by biased editorials ignoring…","negative"
"94",0,"@iKabirBedi Look at the flip side. Very few Indian voters read Time and those who do will know the writer is a Paki… https://t.co/2U1edRuRuH","neutral"
"95",2,"RT @DrTamilisaiBJP: Thank you @Imamofpeace  for your correct views on our visionary PM taking india on the path of development.Feel elated…","positive"
"96",0,"RT @UjwalaSawant3: Please resume at the earliest.
#GoaMining only source of earning.
#RestartGoaMining
@BJP4Goa @BJP4India @narendramodi @D…","neutral"
"97",0,"@ashutosh83B @AamAadmiParty @ArvindKejriwal @Saurabh_MLAgk @SanjayAzadSln @BJP4India @INCIndia In every election no… https://t.co/imZXq3X0UI","neutral"
"98",1,"RT @BJP4India: If you are so concerned about the stature and dignity of a former Prime Minister, what about the stature and dignity of the…","positive"
"99",0,"RT @PrakashJavdekar: Even Punjab CM @capt_amarinder has admitted that H.K.L Bhaghat, Arjun Das, Lalit Maken, Sajjan Kumar &amp; one minister, p…","neutral"
"100",-1,"RT @suhelnarvekar: We are facing problems as there is no business. 
#GoaMining #RestartGoaMining #ThursdayThoughts @narendramodi @BJP4Goa @…","negative"
"101",1,"RT @veer_ashwani: @myogiadityanath What about #69000_शिक्षक_भर्ती  why don’t you clear your stand on this. What about your dream of quality…","positive"
"102",0,"@BJP4India @narendramodi @amitmalviya @AmitShah each and every word of Modi speaks out his personality and his sick… https://t.co/eQKa6o0Sh4","neutral"
"103",3,"RT @va_shiva: I hope EVERY Indian realises the incredible fortune to have @narendramodi. He's in this with his heart &amp; soul to uplift India…","positive"
"104",-1,"RT @RKSinhaBJP: The @Time magazine Cover is a reflection of that Western mindset, which wants to define India by biased editorials ignoring…","negative"
"105",0,"RT @Narende81842046: #Kabir_is_God #SantRampalJiMaharaj #FridayFeeling 
Jo log Dahej Pratha se dukhi h,
Read ""Gyan Ganga"" book written by G…","neutral"
"106",1,"RT @shail292k6: @NewShiningIndia @ctex108 @TIME @BJP4India the author is son of a pakistani politician... now we know how fair this article…","positive"
"107",0,"RT @rajeev_mp: The last 5 yrs @narendramodi has done more to #SecureIndia n for the cause of our VETERANS n our ARMED FORCES thn all govts…","neutral"
"108",1,"RT @agraharishivam7: Where is the freedom of expression gang? #ISupportPriyankaSharma @BJP4India https://t.co/D4m2gREpuu","positive"
"109",0,"What do you think ?
#IStandWithGambhir 
#IStandWithAtishi 
@BJP4India 
@AamAadmiParty 
Please vote and retweet.
#LokSabhaElections2019","neutral"
"110",-1,"@BJP4India @narendramodi @AmitShah @amitmalviya Time to realise acche din promise of Modi . This is dangerous actio… https://t.co/zkM86UY0KJ","negative"
"111",0,"@deepakbhx @Rahuljain094 @nandtara @ianbremmer @TIME @narendramodi @INCIndia @BJP4India @mihirssharma @arunjaitley… https://t.co/IAqdz0TrnI","neutral"
"112",0,"RT @SinghPramod2784: Sir! Sharad Pawar voted in South Mumbai Lok Sabha seat &amp; there was no @BJP4India candidate here as seat has gone to Sh…","neutral"
"113",1,"RT @agraharishivam7: Where is the freedom of expression gang? #ISupportPriyankaSharma @BJP4India https://t.co/D4m2gREpuu","positive"
"114",1,"RT @agraharishivam7: Where is the freedom of expression gang? #ISupportPriyankaSharma @BJP4India https://t.co/D4m2gREpuu","positive"
"115",1,"@yadavdimples @yadavakhilesh @BJP4India Yes yes yes right now https://t.co/tgpMSACwvy","positive"
"116",1,"@ZeeNewsHindi @narendramodi @sudhirchaudhary @ZeeNews @BJP4India It was outstanding interview I watch it also downl… https://t.co/N112Q2tRAW","positive"
"117",-1,"RT @AnkitLal: .@AamAadmiParty sends legal notice to @BJP4India and it's East Delhi candidate @GautamGambhir over derogatory content in pamp…","negative"
"118",0,"RT @computervarun: Who has more knowledge. #UttarPradesh #Bihar #Maharashtra #Rajasthan #Karnataka #Uttarakhand #MadhyaPradesh #Bollywood #…","neutral"
"119",0,"@narendramodi @TimesMagazine @AmitShah how can they call you Divider in Chief all the story is being manipulated an… https://t.co/m9Xu8Fuzhm","neutral"
"120",1,"RT @AnupAgarwal9: Where is the freedom of expression gang? Where is democracy? #ISupportPriyankaSharma @BJP4India https://t.co/29CplMmPxh
#…","positive"
"121",0,"@shakkuiyer @sampitroda @narendramodi ji, v hav to make sure this moron @RahulGandhi doesn’t celebrate his next bir… https://t.co/EmyE8O5jvU","neutral"
"122",0,"RT @BJP4India: BJP crosses the milestone of 11 million followers on Twitter. Thank you for your support. #JitegaModiJitegaBharat https://t.…","neutral"
"123",0,"@Dr_Uditraj @BJP4India Fear mongers should be kicked between two legs.","neutral"
"124",1,"People like Yaswant Sinha, Shotgun, Shouri, Guha, Thapar, Pitroda, Ahemed Patel Digvijay, Ravish speak about ""Digni… https://t.co/KG4numT4Sm","positive"
"125",1,"@BJP4India @BJP4India You aee just like congress, they talk about past n you also talk the same, #bjpisnewcongress","positive"
"126",1,"@Ishwarc62953658 @davidfrawleyved Here is the ring masters @BJP4India https://t.co/H7LJjh6jQg","positive"
"127",1,"RT @blsanthosh: The famous vacation of a PM ... Shameless @INCIndia argues that a PM is entitled for these trips .... Congress Mukt Bharath…","positive"
"128",-1,"RT @anusha_r1: @Tejasvi_Surya Tweeting isn't enough! And condemnation wouldn't change anything. She got arrested for posting a meme!!!!! So…","negative"
"129",0,"RT @SinghPramod2784: Sir! Sharad Pawar voted in South Mumbai Lok Sabha seat &amp; there was no @BJP4India candidate here as seat has gone to Sh…","neutral"
"130",0,"@BJP4India @narendramodi @amitmalviya @AmitShah Modi exposed again n again https://t.co/R7Wgtt1Jhj","neutral"
"131",1,"@jyotiaspnet @AltNews @TIME @INCIndia Just like @BJP4India MP candidate Pragya Thakur, she involved in the Malegaon… https://t.co/iBlszix8wo","positive"
"132",1,"RT @blsanthosh: The famous vacation of a PM ... Shameless @INCIndia argues that a PM is entitled for these trips .... Congress Mukt Bharath…","positive"
"133",-2,"RT @RavinarIN: Dear dumb spokies and supporters of @BJP4India on @Republic... Why in hell are you demanding ""Sack Pitroda""?.. Are you that…","negative"
"134",0,"@indiantweeter Lucknow -@BJP4India","neutral"
"135",1,"@BJP4India @narendramodi @amitmalviya @AmitShah buttering at its peak , how smartly ministers are also trying to di… https://t.co/AQVszkbiFG","positive"
"136",-1,"RT @PreetiSMenon: Shame on you @GautamGambhir.
We all know it's mandatory to be a filthy misogynist to be in @BJP4India but your sordid fak…","negative"
"137",-1,"RT @RKSinhaBJP: The @Time magazine Cover is a reflection of that Western mindset, which wants to define India by biased editorials ignoring…","negative"
"138",-1,"RT @anusha_r1: @Tejasvi_Surya Tweeting isn't enough! And condemnation wouldn't change anything. She got arrested for posting a meme!!!!! So…","negative"
"139",-1,"RT @anusha_r1: @Tejasvi_Surya Tweeting isn't enough! And condemnation wouldn't change anything. She got arrested for posting a meme!!!!! So…","negative"
"140",1,"@sumituk @Saurabh_MLAgk @BJP4India Was a masters degree in ""Entire political science"" offered from the school where… https://t.co/tKvHdVBBzm","positive"
"141",1,"RT @AnupAgarwal9: Where is the freedom of expression gang? Where is democracy? #ISupportPriyankaSharma @BJP4India https://t.co/29CplMmPxh
#…","positive"
"142",0,"@UdayMahurkar @davidfrawleyved @IndiaFactsOrg @authoramish @RSSorg @BJP4India @DattaHosabale @kumarnandaj… https://t.co/E1O4JGHCyv","neutral"
"143",0,"So Rahul Gandhi has also denounced Pitroda's remark. 
https://t.co/ErK4txcepL

Meanwhile, still waiting for… https://t.co/xDAL7vmzZz","neutral"
"144",0,"RT @SanataniGaurav: When did @BJP4India agree with that pamphlet regarding Atishi Marlena, Mr @abhisar_sharma.

Kindly stop your Dalali, yo…","neutral"
"145",0,"@SirPareshRawal By the way can you or any @BJP4India ian  reverse what happened in the past? 
If yes, try to fix 20… https://t.co/ZZOuSDTFdp","neutral"
"146",0,"RT @beingAPU: If you vote for BJP in West Bengal, you will be killed.

If you Chant 'Jai Shri Ram' you will be in Jail.

If you make cartoo…","neutral"
"147",0,"When did @BJP4India agree with that pamphlet regarding Atishi Marlena, Mr @abhisar_sharma.

Kindly stop your Dalali… https://t.co/4lj8p7I85K","neutral"
"148",1,"RT @anshul_aliganj: After the @TrueIndology suspension episode and further suspension of @IamTrueIndology one thing is very clear that ther…","positive"
"149",0,"Media must highlight this serious issue. @SwarajyaMag @BJP4TamilNadu @DrTamilisaiBJP @PonnaarrBJP @AIADMKOfficial… https://t.co/E5bsW1Rill","neutral"
"150",0,"@BJP4India @narendramodi @amitmalviya @AmitShah Drama king with Oscar nomination https://t.co/bgyCiEfkmC","neutral"
"151",0,"RT @MahiiAlltheWay: RT AamAadmiParty: If you have the strength, do read this pamphlet of BJP's GautamGambhir which is getting distributed i…","neutral"
"152",0,"@SatishSbidu @ZeeNews @sudhirchaudhary @narendramodi @BJP4India Only after NDTV dissolves. If NDTV can lick Congres… https://t.co/ITR4qF2jl6","neutral"
"153",1,"@RT_com @Imamofpeace This cretin supports hindu terrorism by @RSSorg @BJP4India as counter to islamism, not a credible voice.","positive"
"154",-1,"RT @MahiiAlltheWay: RT PreetiSMenon: Shame on you GautamGambhir.
We all know it's mandatory to be a filthy misogynist to be in BJP4India bu…","negative"
"155",-1,"RT @RavinarIN: Delhi has sizeable Sikh population (Voting on 12th)... Punjab is Sikh majority (Voting on 19th)... And @SamPitroda abuses th…","negative"
"156",-1,"RT @RKSinhaBJP: The @Time magazine Cover is a reflection of that Western mindset, which wants to define India by biased editorials ignoring…","negative"
"157",-2,"RT @RavinarIN: Dear dumb spokies and supporters of @BJP4India on @Republic... Why in hell are you demanding ""Sack Pitroda""?.. Are you that…","negative"
"158",-2,"RT @PulkitS_: Shameful BJP's dirty tricks department is constantly at work.

1st they distributed disgusting pamphlets about @AtishiAAP &amp; n…","negative"
"159",0,"@newIndia_2019 @Shubham_RI @sagarikaghose @BJP4India sagarika -The other part is you are underrating Mamata.
Cpm ha… https://t.co/lT8YFXV22I","neutral"
"160",2,"RT @SandipGhose: @WIONews @BJP4India @palkisu @john_pether Very interesting discussions - far better than any of the mainstream channels. G…","positive"
"161",1,"RT @agraharishivam7: Where is the freedom of expression gang? #ISupportPriyankaSharma @BJP4India https://t.co/D4m2gREpuu","positive"
"162",0,"@UdayMahurkar @davidfrawleyved @IndiaFactsOrg @authoramish @RSSorg @BJP4India @DattaHosabale @kumarnandaj… https://t.co/0t3Z0uGnyr","neutral"
"163",0,"@UdayMahurkar @davidfrawleyved @IndiaFactsOrg @authoramish @RSSorg @BJP4India @DattaHosabale @kumarnandaj… https://t.co/U5GNp0yLn2","neutral"
"164",0,"RT @ss_suryawanshi: .@Dev_Fadnavis is away 4 @BJP4India #Loksabhaelections2019 campaign fm Maharashtra while some part of the state is suff…","neutral"
"165",0,"@BJP4India Hahahaha these mahamilavat goons never get succed in life..","neutral"
"166",-2,"RT @MahilaCongress: Now that this utter stupid election gimmick by @BJP4India  is dismissed by SC, will @narendramodi take up #RahulKaChall…","negative"
"167",0,"RT @SinghPramod2784: Sir! Sharad Pawar voted in South Mumbai Lok Sabha seat &amp; there was no @BJP4India candidate here as seat has gone to Sh…","neutral"
"168",0,"@Prachim91 @Swamy39 Keep writing your thesis and please mention respected #MukeshAmbani ( for revolution of… https://t.co/zA3CazVJuT","neutral"
"169",1,"Prime Minister @narendramodi please take strong action. @PMOIndia @BJP4India @BJP4Karnataka @CMOMaharashtra… https://t.co/or8tb1Q496","positive"
"170",2,"RT @HC_meenaMP: @IndianExpress #BJP4India is quite capable of claiming it an honour and international recognition of #Modi's good work,as t…","positive"
"171",-1,"RT @agrawal_virat: Talked to a college friend after a couple of yrs. Back in 2014 he was a critic of PM Modi &amp; I was a fan (a bigger one to…","negative"
"172",0,"Dear @NitishKumar please let @BJP4India @INCIndia fight on Mandir, masjid bt plz u focus on gtting Spcial status fo… https://t.co/7R59fLXB4G","neutral"
"173",0,"RT @SinghPramod2784: Sir! Sharad Pawar voted in South Mumbai Lok Sabha seat &amp; there was no @BJP4India candidate here as seat has gone to Sh…","neutral"
"174",0,"@Saurabh_MLAgk @BJP4India Just look at the replies from the Sanghi scum ..None of them are ready to take up the cha… https://t.co/LOSCYzZ7zR","neutral"
"175",0,"RT @VickyKedia: @BJP4India The Centre has stripped the Delhi Anti-Corruption Branch (ACB) of powers to probe central government employees f…","neutral"
"176",0,"@BJP4India Only bjp","neutral"
"177",1,"RT @AnupAgarwal9: Where is the freedom of expression gang? Where is democracy? #ISupportPriyankaSharma @BJP4India https://t.co/29CplMmPxh
#…","positive"
"178",0,"@ModiCorrupt @narendramodi @BJP4India @narendramodi @AmitShah @amitmalviya to.cover up all these Modi plays victim… https://t.co/ok6p96pxZA","neutral"
"179",1,"RT @AnupAgarwal9: Where is the freedom of expression gang? Where is democracy? #ISupportPriyankaSharma @BJP4India https://t.co/29CplMmPxh
#…","positive"
"180",0,"@rajchauhanbjp @BJP4India @abpnewshindi Hit h boss. 💖💖","neutral"
"181",0,"@Bawaliyo @dutt_cool @sagarikaghose @BJP4India @narendramodi You are an Indian and every other identity doesn’t rea… https://t.co/RMf7KClPhx","neutral"
"182",-1,"RT @kunalchandwar: 350 odd may have voted but most direct contest seats are pending 
Around 275-300 direct contests between @BJP4India and…","negative"
"183",-1,"@Tejasvi_Surya @srivatsayb Your concern about these things are OK. But first you stop going to those TV channels wh… https://t.co/xpaVxZ48Ap","negative"
"184",-1,"RT @anusha_r1: @Tejasvi_Surya Tweeting isn't enough! And condemnation wouldn't change anything. She got arrested for posting a meme!!!!! So…","negative"
"185",2,"RT @kunalchandwar: Why does it look like @BJP4India is the more politically astute party compared to the grand old @INCIndia 
75years and y…","positive"
"186",0,"“completely out of line,” party president Rahul Gandhi.
https://t.co/1mkpIQLy35
@RahulGandhi @INCIndia… https://t.co/BfxGBESnUg","neutral"
"187",2,"RT @makarand_s: The @BJP4India exhibits Schrödinger's love for the armed forces. At once feeding off their bravery (Balakot) and abusing th…","positive"
"188",0,"RT @SiviChauhan: #Ramzan2019
According to Quran only Allah Kabir can forgive our sins.
But we can find him with the help of a bakhabar sain…","neutral"
"189",0,"RT @ZeeNews: #ModiOnZee: War is not a solution to any problem, says PM Narendra Modi in an exclusive interview with @sudhirchaudhary 
Watch…","neutral"
"190",0,"RT @ZeeNews: BJP will get majority in Lok Sabha elections, says PM Narendra Modi in an exclusive conversation with @sudhirchaudhary
MUST WA…","neutral"
