"","score","text","polarity"
"18",0,"#sampitroda aur #RahulGandhi
Congressmuktabharat banane ki thaan le rakkhi hai kya donone bhi!! xD
I thought I was… https://t.co/rUxa99zW5m","neutral"
"19",-1,"RT @VMuppi: and sir @RahulGandhi ji this aunty @NMenonRao , who is a @INCIndia sympathizer is also crying:
https://t.co/JASKwJFiqf

poor th…","negative"
"20",1,"RT @sunetrac: From his ‘fondness’ for @ArvindKejriwal to @BarackObama ‘s admiration for @narendramodi , @RahulGandhi gives a no holds barre…","positive"
"21",0,"@khushsundar @RahulGandhi @sampitroda Not just Delhi https://t.co/mcogvwCN52","neutral"
"22",0,"RT @drshamamohd: 1984 shouldn’t have happened. Manmohan Singh had apologised for it , Sonia ji &amp; @RahulGandhi ji had expressed their regret…","neutral"
"23",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/wSVKo33aHo","neutral"
"24",0,"RT @VMuppi: Now shri @RahulGandhi ji,  your statement below 
https://t.co/brGMI1OR3d

would not be necessary. Why did you outsource the app…","neutral"
"25",-2,"@seriousfunnyguy @RahulGandhi @capt_amarinder Captain Amarinder was unhappy that Indira was killed by a disgruntled… https://t.co/cUtKTwctTW","negative"
"26",-1,"@khushsundar @RahulGandhi @sampitroda An intellectual should remain that way, why poke in unnecessary politics with… https://t.co/BAHvTq3QAS","negative"
"27",0,"@vivekgarg3344 @_sabanaqvi @NeetuGarg6 @sweetybliss11 @Aadishakti_101 @thewittydoctor @SwetaSinghAT @narendramodi… https://t.co/kBgH9LkWFP","neutral"
"28",0,"Former PM IK Gujral's son on how @RahulGandhi 's father  Rajiv Gandhi held back the army for 3 full days inspite of… https://t.co/RW25VH2Fw3","neutral"
"29",0,"RT @abhishekdey04: ""When you introspect, you seem detached. Even aloof. I would sometimes introspect while surrounded by people. Now I don’…","neutral"
"30",-1,"RT @BrijMohanBhama: Because of  Mr @sampitroda two statements @congress will loose at least 20 Lok Sabha seats in 2019 Election @RahulGandhi","negative"
"31",-1,"RT @nagma_morarji: Glad to have addressed a public gathering in Valmiki nagar, Bihar. People feel cheated by Nitish Kumar Ji. Modi Ji &amp; Nit…","negative"
"32",0,"Traveling 4440 km to vote for @INCIndia. #Delhi votes tomorrow (12th May, 2019). Good Luck @RahulGandhi","neutral"
"33",0,"RT @maanuraajan1: Do you have some brains ?Mr @Swamy39 has already got the relevant documents which shows that @RahulGandhi is a British Ci…","neutral"
"34",1,"@sampitroda SAM babu...any visionary PM of a country had to do this ... nothing new ...what rubbish? And we believe… https://t.co/PD7Y6vW5Mp","positive"
"35",0,"RT @swamitwitanand: @calamur @RahulGandhi Doesnt have to think 😁 every road,bridge,building is named after one of them😎","neutral"
"36",0,"@MyFellowIndians @RahulGandhi @sanjayuvacha @sonu1mohanty @neo_pac @Subytweets @ArnazHathiram @Mnomics_… https://t.co/qyKnjbkXLT","neutral"
"37",-2,"RT @usha_ravi: @INCIndia @RahulGandhi @htTweets Modiji is not bothered about your fsmily. you lied about him and called him names. So he br…","negative"
"38",0,"RT @Shehzad_Ind: Hua toh Hua is the real face of ""Nyay"" that @RahulGandhi &amp; his family can offer to us...remember this always","neutral"
"39",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Una, Himachal Pradesh. #AbHogaNyay https://t.co/9GIgv8uByq","neutral"
"40",0,"@MyFellowIndians @RahulGandhi @sanjayuvacha @sonu1mohanty @neo_pac @Subytweets @ArnazHathiram @Mnomics_… https://t.co/PtmwBPEnKt","neutral"
"41",0,"@RahulGandhi Narendra Modi called Chor to a real choor. Why you embarrassed","neutral"
"42",0,"RT @kunalshuklaJH: On one hand you have a leader who doesn't even move an inch when his staff faints of a heart attack.

On the other, ther…","neutral"
"43",-1,"RT @Citizen33877408: #IndiasDividerInChief what a shame  Mr Modi. The PM of India's office has never seen such dishonor. Please tell the am…","negative"
"44",-1,"@YourGirlNeha @DeependerSHooda @RahulGandhi @priyankagandhi @BhupinderSHooda How parents fill the poison in the min… https://t.co/IeTI2Ip1Dj","negative"
"45",0,"RT @hari_dg: @RahulGandhi Today's Hero for the Congress. 
#TimeMagazine https://t.co/aQ8iC0ga3z","neutral"
"46",0,"RT @WordWandering: Indian express article about #RajivViraatVacation They are now silent about it because they fear the truth will help @na…","neutral"
"47",1,"@RahulGandhi Very good sar","positive"
"48",0,"@drshamamohd @RahulGandhi How can de forget when our 40 soldiers were martyred, de were doing modelling for the new… https://t.co/3P207brX5c","neutral"
"49",-2,"RT @smishra169: @RahulGandhi In fact u n Ur family r terribly obsessed with Modi who is the biggest impediment in Ur way to grab power. Ppl…","negative"
"50",0,"@aajtak @RahulGandhi Failure have the reasons. What about Bhopal Gas Kand. Your father supported to abscond criminal.","neutral"
"51",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"52",0,"@ProudBhagavathi @RahulGandhi IRCTC will start booking for naval ships as soon as Congi comes back to power.","neutral"
"53",0,"@RahulGandhi @RakeshyamK Will Rahul Gandhi Apologize for 1984 Sikh Riots .Arrogant Congress @ it’s peak","neutral"
"54",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/wSVKo33aHo","neutral"
"55",-1,"Because of  Mr @sampitroda two statements @congress will loose at least 20 Lok Sabha seats in 2019 Election @RahulGandhi","negative"
"56",2,"RT @_A_j_i_t: @INCIndia @RahulGandhi @htTweets Actions from your past leads to your present and helps for a better Future.. So nothing wron…","positive"
"57",1,"@RahulGandhi Suddenly when i saw the picture it looks like my bestie @ErfanSami11 😂😂","positive"
"58",0,"RT @INCGoa: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/JqGRDxsUSf","neutral"
"59",3,"@RahulGandhi Sir u have no  right to say Modi g chor  , maintain maryada ,diginity . I want healthy politics like V… https://t.co/0AsrqdYFux","positive"
"60",0,"RT @65thakursahab: Congress President @RahulGandhi has expressed his views on #SamPitroda 's comments, on his Facebook page. 
Do read &amp; sha…","neutral"
"61",-1,"RT @Kjbhat1: @cchandramouli1 @bsvaidya @TajinderBagga @INCIndia @sampitroda @RahulGandhi Invoke provisions of criminal law, non bailable wa…","negative"
"62",0,"@_garrywalia @kapsology @IPS_Association @ArvindKejriwal @RahulGandhi @dhruv_rathee @ReallySwara @vikaskyogi… https://t.co/9oP1qpKjM6","neutral"
"63",-1,"@News18India @RahulGandhi Really what a news. What is the fault ?? Door rubber issue. You make this channels as com… https://t.co/bDLK1raZqK","negative"
"64",0,"RT @Supriya23bh: Mr @RahulGandhi: Ex PM Dr Manmohan Singhji has apologised. My mother,Sonia Gandhiji has apologised. We all hv made our pos…","neutral"
"65",1,"@RahulGandhi We need merit to rule the society. Not reservation.Congress started the reservation. They should out p… https://t.co/HWzyPnlyCe","positive"
"66",0,"@maanuraajan1 @Swamy39 @RahulGandhi Dodo Can a person contest elections if he is not a citizen in India?","neutral"
"67",-1,"RT @cchandramouli1: Sure @TajinderBagga. The @INCIndia's unmindful loose cannon Sam @sampitroda (who also happens to be @RahulGandhi MargDa…","negative"
"68",0,"RT @Supriya23bh: Mr @RahulGandhi: Ex PM Dr Manmohan Singhji has apologised. My mother,Sonia Gandhiji has apologised. We all hv made our pos…","neutral"
"69",-2,"Hua toh hua is the 2019 equivalent of 2014 #chaiwaala - @RahulGandhi needs to fire all incompetent morons such as… https://t.co/a3XRJu5THi","negative"
"70",0,"RT @sonamJain001: @RahulGandhi Who will next PM ? 

Like for Rahul Gandhi 
Retweet For Modi","neutral"
"71",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"72",0,"#AayegaTohModiHi #DeshkeDilMeinModi if don't believe, must see video clip @RahulGandhi @priyankagandhi… https://t.co/MJD49ZVTmG","neutral"
"73",0,"@MrRightCenter @vkr802 @AIIndia @aakar_amnesty @amnesty @narendramodi @AmitShah @RahulGandhi None of them apologise… https://t.co/Z1Yw6Kwxtl","neutral"
"74",0,"RT @rachitseth: Congress President @RahulGandhi’s Facebook post on Sam Pitroda’s comment. Do Read https://t.co/ZXESBDcEvT","neutral"
"75",0,"@NPDay @suhasinih @RahulGandhi @sampitroda @ThePrintIndia Riots and Genocides are black spots on Indian democracy u… https://t.co/f4Wcl3hkQZ","neutral"
"76",1,"RT @rajeev_mp: This is kind of stuff even the Maharajahs n British didnt enjoy - @RahulGandhi Dynasty hv played the role of “rulers” to the…","positive"
"77",0,"RT @srinivasiyc: On one hand you have a leader who doesn't even move an inch when his staff faints of a heart attack.

On the other, there…","neutral"
"78",0,"RT @AadeshRawal: The Former PM, Manmohan Singh Ji has apologised. My mother, Sonia Gandhi Ji has apologised. We all have made our position…","neutral"
"79",0,"RT @INCDelhi: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/Y7SbrwGXix","neutral"
"80",0,"@VMuppi @INCIndia @sampitroda @RahulGandhi Who told you Aiyer is dismissed","neutral"
"81",0,"RT @sonamJain001: @RahulGandhi Who will next PM ?

Like for Rahul Gandhi 
Retweet for Modi","neutral"
"82",0,"RT @srinivasiyc: On one hand you have a leader who doesn't even move an inch when his staff faints of a heart attack.

On the other, there…","neutral"
"83",0,"@SameerD21792265 @RahulGandhi There is no evidence to prove the Rafael Scam... I know that","neutral"
"84",0,"@drshamamohd @RahulGandhi Sanghis never apologise for anything - 
Be it Babri demolition, Guj-2002, or Lynching&amp;Garlanding 
Riots etc","neutral"
"85",-1,"#sampitroda
#HuaToHua
I am afraid this one's gonna stick up Congress' you-know-where for a really long time.
N with… https://t.co/o0PySQOyw8","negative"
"86",2,"RT @AshaKumariINC: The support for @INCIndia President Sh.@RahulGandhi's leadership was at an exemplary display today during his rally in C…","positive"
"87",0,"RT @maanuraajan1: Do you have some brains ?Mr @Swamy39 has already got the relevant documents which shows that @RahulGandhi is a British Ci…","neutral"
"88",-1,"@ShefVaidya @sampitroda @RahulGandhi @INCIndia Sam refused to script the apology for him","negative"
"89",3,"RT @srspdkt: What's pretty clear is that we're winning the election: Congress President @RahulGandhi speaks to @SreenivasanJain from @NDTV…","positive"
"90",0,"@AnandSharmaINC saab,...

@narendramodi got no family &amp; he don't need a vacation

@RahulGandhi definitely has many… https://t.co/DJsKjJ2fbo","neutral"
"91",0,"@RahulGandhi Khangress is happy that they finally curbed the funny videos of @RahulGandhi by not letting him speak… https://t.co/nrzes5pNaP","neutral"
"92",-1,"RT @nehasamee11: Most of the times, I fall short of words to paise @RahulGandhi 
                        ♥️ https://t.co/8h5igo4krY","negative"
"93",0,"RT @ShefVaidya: So in the last three weeks, @sampitroda, political Guru and mentor of @RahulGandhi has 1) Questioned Balakot air strikes 2)…","neutral"
"94",0,"@SYadavMLA @INCIndia @INCMP @RahulGandhi @OfficeOfKNath @yadavtejashwi @HardikPatel_ @MPArunYadav @JM_Scindia… https://t.co/ZupMgY5Cm8","neutral"
"95",-2,"RT @VMuppi: here come the full blow of sabotage to @INCIndia by @sampitroda 

Look sir @RahulGandhi I am not a celebrity. Many hi-fi folks…","negative"
"96",-2,"RT @Prof_Hariom: Dear outraged Sikhs in Punjab, Delhi, Haryana &amp; Himachal Pradesh,

You one vote for the butcher of 15000 Sikhs, incl 3000…","negative"
"97",0,"@rupasubramanya @sampitroda I get the feeling that the reason PM ji is harking back to Rajiv Gandhi is not because… https://t.co/4KSkIFmrDs","neutral"
"98",0,"Congress President @RahulGandhi to address 3 public rallies in Madhya Pradesh (Shujalpur, Dhar, and Khargone) today.","neutral"
"99",1,"@SameerD21792265 @RahulGandhi I just trying to be open minded... You can't blindly say whatever they do is right ei… https://t.co/ucPtjQ5FEN","positive"
"100",2,"RT @thesuniljain: For all the retired Navy top brass running to give a clean chit to Rajiv Gandhi @INCIndia @RahulGandhi. Today's @IndianEx…","positive"
"101",0,"RT @fairaffairs: @RahulGandhi Why don't you share the video of your interview with @IndiaToday","neutral"
"102",0,"RT @TonySahajlain: No mainstream media will show this ""Aazadi"" slogans shouted by the Muslims! #MustWatch
#ModiHiAayega
@RahulGandhi
@naren…","neutral"
"103",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/wSVKo33aHo","neutral"
"104",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Una, Himachal Pradesh. #AbHogaNyay https://t.co/9GIgv8uByq","neutral"
"105",0,"@RahulGandhi Your guru @sampitroda gave NYAY to Sikh community before election result

""HUA to HUA""","neutral"
"106",0,"RT @Shehzad_Ind: Hua toh Hua is the real face of ""Nyay"" that @RahulGandhi &amp; his family can offer to us...remember this always","neutral"
"107",1,"RT @manishasangwan4: For those @narendramodi bhakts who have said that he has improve the image of country internationally. Has he damaged…","positive"
"108",-1,"@RahulGandhi Mr. Papu,

U &amp; ur Family did Scams &amp; Crimes.
Then this is not Election issue ???

What u &amp; ur sister d… https://t.co/KYEqZoCrcL","negative"
"109",0,"RT @drshamamohd: 1984 shouldn’t have happened. Manmohan Singh had apologised for it , Sonia ji &amp; @RahulGandhi ji had expressed their regret…","neutral"
"110",0,"RT @Prof_Hariom: Dear Hindus,
I am again tweeting.

Both @INCIndia and Muslim League were founded by London

INC by Hume, Dufferin and Curz…","neutral"
"111",-1,"@sanjukta @tufailelif @RahulGandhi The BJP is waiting for him to rake that up. That is why they are desperately pro… https://t.co/kxsl0sDxkA","negative"
"112",0,"RT @DrGPradhan: Island booked for PM

Can @RahulGandhi tell ppl if Navy was his father personal property and the choppers &amp; Ships were his…","neutral"
"113",0,"RT @65thakursahab: Congress President @RahulGandhi has expressed his views on #SamPitroda 's comments, on his Facebook page. 
Do read &amp; sha…","neutral"
"114",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/wSVKo33aHo","neutral"
"115",0,"@RahulGandhi Wt to see,  since election begun except chor ke Bina kuch kaha hai Kya.... U don't have content in ur speech BAABA . Sorry🤘","neutral"
"116",-1,"@RahulGandhi Yeah. Dont forget faulty EVMs","negative"
"117",0,"RT @SandipGhose: Interesting, and @sampitroda was @RahulGandhi's original choice for @rashtrapatibhvn the year @CitiznMukherjee was elected…","neutral"
"118",0,"RT @srinivasiyc: On one hand you have a leader who doesn't even move an inch when his staff faints of a heart attack.

On the other, there…","neutral"
"119",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/wSVKo33aHo","neutral"
"120",-2,"RT @VMuppi: here come the full blow of sabotage to @INCIndia by @sampitroda 

Look sir @RahulGandhi I am not a celebrity. Many hi-fi folks…","negative"
"121",-2,"@htTweets @RahulGandhi Totally unacceptable very irresponsible comments by @sampitroda. But I wish as @RahulGandhi… https://t.co/qwYnpX13rY","negative"
"122",0,"@RahulGandhi @RakeshyamK 1984 Sikh riots, Congress people involved go unpunished still .","neutral"
"123",-1,"RT @nehasamee11: Most of the times, I fall short of words to paise @RahulGandhi 
                        ♥️ https://t.co/8h5igo4krY","negative"
"124",-1,"@RahulGandhi 🤣🤣🤣 Good joke","negative"
"125",-1,"RT @surnell: Oye @sampitroda Liar was bluffing all along. Perils of spending too much time with liar @RahulGandhi

The story of India’s tel…","negative"
"126",1,"RT @NPDay: Exclusive: Don’t appreciate this nonsense, says @RahulGandhi of @sampitroda 1984 Sikh riots remark. Gandhi said he will personal…","positive"
"127",3,"RT @va_shiva: I hope EVERY Indian realises the incredible fortune to have @narendramodi. He's in this with his heart &amp; soul to uplift India…","positive"
"128",0,"@PoojaShali @IndiaToday Thr is all @ArvindKejriwal written over it... In this country no one ...mind u no one can b… https://t.co/iPYozXDlYG","neutral"
"129",-1,"RT @nehasamee11: Most of the times, I fall short of words to paise @RahulGandhi 
                        ♥️ https://t.co/8h5igo4krY","negative"
"130",0,"@RahulGandhi How long did it take for the preparation..?? I mean to by heart all those answers..","neutral"
"131",0,"@raj_sharma444 @AnujGaur17 @narendramodi @RahulGandhi Accha is my t bad to enjoy beer? I also enjoy. @RahulGandhi Pappu bhai do u also?","neutral"
"132",-1,"@RahulGandhi @RakeshyamK  Was it Uncle Sam’s arrogance or congress Arrogance. Time to make Congress Mukt","negative"
"133",-1,"RT @i_theindian: @RahulGandhi 2002: Hero of Hatred 
2002: Master Divider 
2019: India's Divider in Chief

Old habits die hard. 
#TimeMagazi…","negative"
"134",0,"Congress President @RahulGandhi has expressed his views on #SamPitroda 's comments, on his Facebook page. 
Do read… https://t.co/Ra9qpuL7kl","neutral"
"135",1,"RT @SomenMitraINC: The vision of @RahulGandhi has impressed everyone because it has pragmatic ideas and solutions for the People.
Unlike BJ…","positive"
"136",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/wSVKo33aHo","neutral"
"137",0,"RT @market_realist_: @INCSandesh Err..... What about #KamalNath who has been made MP CM by @RahulGandhi ? #1984HuaToHua","neutral"
"138",0,"@Nidhi @prakashraaj @RahulGandhi @sardesairajdeep @sagarikaghose

Just tagging them for no result... https://t.co/lIVJ8TGlnG","neutral"
"139",0,"RT @rachitseth: Congress President @RahulGandhi’s Facebook post on Sam Pitroda’s comment. Do Read https://t.co/ZXESBDcEvT","neutral"
"140",-1,"RT @65thakursahab: Dear @RahulGandhi please take @INCIndia back into the attack mode. 
We need to take the narrative back to the economy, j…","negative"
"141",1,"@RahulGandhi What are your credentials Mr. Gandhi in governing? The best you could do tear papers and throw at your… https://t.co/tQC3ztBiYz","positive"
"142",0,"@RahulGandhi Cool and wait up to 19 May then Modi finish ...","neutral"
"143",1,"RT @rajeev_mp: This is kind of stuff even the Maharajahs n British didnt enjoy - @RahulGandhi Dynasty hv played the role of “rulers” to the…","positive"
"144",-1,"RT @nehasamee11: Most of the times, I fall short of words to paise @RahulGandhi 
                        ♥️ https://t.co/8h5igo4krY","negative"
"145",0,"RT @INCRajasthan: LIVE: Congress President Shri @RahulGandhi Ji addresses public meeting in Una, Himachal Pradesh. #AbHogaNyay https://t.co…","neutral"
"146",0,"RT @MahilaCongress: Mr Narendra Modi is obsessed with my family. I don’t think about my father, grandmother or great-grandfather as much as…","neutral"
"147",0,"RT @IYC_UPEast: Here’s a link of @RahulGandhi interview with Sunetra Choudhury of the Hindustan  Times on Modi Ji’s unhealthy obsession wit…","neutral"
"148",0,"RT @INCMumbai: NYAY scheme will remonetise the Indian economy. The way petrol is provided to an engine, the NYAY scheme will jumpstart the…","neutral"
"149",-1,"RT @Prof_Hariom: Big big big big breaking 
Punjab CM Captain Amrinder Singh admits that 5 top Congress  leaders carried out massacre of 800…","negative"
"150",1,"#IndiaElections2019: Political parties continue to woo voters for 7th phase; PM @narendramodi to address election r… https://t.co/do8MnsyfeO","positive"
"151",0,"@RahulGandhi When u r smoking weed...N feeling high https://t.co/rR80gabs7R","neutral"
"152",0,"RT @calamur: ""I don’t think about my father, grandmother or great-grandfather as much as Mr Modi does. ""
@RahulGandhi 
https://t.co/iTiJ9ol…","neutral"
"153",0,"RT @Supriya23bh: Mr @RahulGandhi: Ex PM Dr Manmohan Singhji has apologised. My mother,Sonia Gandhiji has apologised. We all hv made our pos…","neutral"
"154",0,"@RahulGandhi When all else fails.. run to naani..","neutral"
"155",0,"RT @SuPriyoBabul: Dear Rahul Gandhi,

Speaking of interviews, we found this one photo from your India Today interview. 

When do you plan t…","neutral"
"156",0,"@SameerD21792265 @RahulGandhi the objectives were not met as our country is vast and thats not only reason It shoul… https://t.co/NGa3VNrvhQ","neutral"
"157",0,"@shakkuiyer @sampitroda @narendramodi ji, v hav to make sure this moron @RahulGandhi doesn’t celebrate his next bir… https://t.co/EmyE8O5jvU","neutral"
"158",1,"RT @IYC: A fighter inspired by Shri @RahulGandhi.

Muhammed Aasim has come to Delhi from Kerala to appeal for the upgradation of his school…","positive"
"159",0,"RT @DrGPradhan: Island booked for PM

Can @RahulGandhi tell ppl if Navy was his father personal property and the choppers &amp; Ships were his…","neutral"
"160",0,"@nehasamee11 @Sanjay_Tiya @RahulGandhi Apne apne sanskar... 

Jai hind 
Jai congress Vijay Congress","neutral"
"161",-1,"@RahulGandhi Yeah He taught you this by sponsoring state backed massacre of 1984 sikh genocide. Eat Parle G","negative"
"162",-1,"@moneycontrolcom @RahulGandhi @narendramodi Not only Modi.
Many in India hate Congress just bcoz of u &amp; ur dynastic… https://t.co/dtbd63nJMz","negative"
"163",0,"@IkedaQuotes @RahulGandhi absolutely you","neutral"
"164",0,"@rajarajeevkumar @DickDarryl @TimesNow @iSamiakapoor @RahulGandhi @manm0hansingh @AnthonySald @KPadmaRani1… https://t.co/IkoWP9ufaE","neutral"
"165",0,"@authorellenmaze @ConstanceCWill2 @DianeBarnes777 @mamashawnbeasl1 @Lizzie_Chantree @GemmaMartin25 @ItsFayeMorgan… https://t.co/h4Tg4K4iSx","neutral"
"166",3,"@INCIndia leaders lined up behind their top leader @RahulGandhi to tender unconditional apology r not rt message in… https://t.co/hnVZ3Ez0Vn","positive"
"167",-1,"RT @Prof_Hariom: Big big big big breaking 
Punjab CM Captain Amrinder Singh admits that 5 top Congress  leaders carried out massacre of 800…","negative"
"168",0,"@GodduSahadev @sampitroda @rajeev_mp @BJP4Karnataka @RahulGandhi @priyankagandhi @INCIndia Next you will defend cro… https://t.co/EhieLUkjRp","neutral"
"169",0,"@sadhavi @RahulGandhi @sunetrac At first Nehru called him Bapu then the family adopted his surname &amp; thereafter he… https://t.co/2aHBUQnetd","neutral"
"170",0,"@RahulGandhi @INCIndia Indiana Jones at his best, Chotta Bheem. Finally he realized he is fighting Past, Present &amp;… https://t.co/C203TkeRIw","neutral"
"171",-3,"RT @Prof_Hariom: Cat is out of the bag
@priyankagandhi terms Pak-sponsored deadly terror attacks on Bharat ""absurd issue"".

Bharat's 4 curs…","negative"
"172",0,"@KavithaReddy16 @mani1972ias @tinucherian @INCKarnataka @hd_kumaraswamy @siddaramaiah @RahulGandhi True! We should… https://t.co/kOCQvnnx95","neutral"
"173",0,"RT @MahilaCongress: Mr Narendra Modi is obsessed with my family. I don’t think about my father, grandmother or great-grandfather as much as…","neutral"
"174",1,"RT @maneeeshh01: Dear Govt
Pls clear ur stand,if BSNL for profit,let us close all our lossy business and give us a level playing field,if i…","positive"
"175",0,"RT @calamur: ""I don’t think about my father, grandmother or great-grandfather as much as Mr Modi does. ""
@RahulGandhi 
https://t.co/iTiJ9ol…","neutral"
"176",0,"@RahulGandhi Rahulji for PM try for 
Shari Pranab mukharji 
 Hopefully congress can come back 
 Later there is a long way for you","neutral"
"177",0,"RT @Supriya23bh: Mr @RahulGandhi: Ex PM Dr Manmohan Singhji has apologised. My mother,Sonia Gandhiji has apologised. We all hv made our pos…","neutral"
"178",-1,"@HLKodo Islam, China &amp; N Korea......!!!
Dies @RahulGandhi plan to impose those systems going to be imposed upon us… https://t.co/TaGD0Lg4fQ","negative"
"179",0,"RT @RAJAGOPALAN1951: What a record break of Guinness Book? 35 years of uninterrupted SPG protection to Sonia Rahul Priyanka Gandhi. @RahulG…","neutral"
"180",0,"@RakeshSinha01 @republic @capt_amarinder @RahulGandhi @davidfrawleyved @narendramodi @luvsalimkhan @Shehzad_Ind 
An… https://t.co/YiT0pUvpTo","neutral"
"181",0,"RT @rachitseth: Congress President @RahulGandhi’s Facebook post on Sam Pitroda’s comment. Do Read https://t.co/ZXESBDcEvT","neutral"
"182",0,"RT @Supriya23bh: Cong Prez @RahulGandhi :
I think what Sam Pitrodaji said is completely out of line and he should apologise for it. I think…","neutral"
"183",-2,"RT @Prof_Hariom: Dear outraged Sikhs in Punjab, Delhi, Haryana &amp; Himachal Pradesh,

You one vote for the butcher of 15000 Sikhs, incl 3000…","negative"
"184",0,"@ShashiTharoor Nope. Practicing your next job after elections. Lyrics would be “@RahulGandhi not responsible for the defeat”.","neutral"
"185",0,"@RahulGandhi Sir ji please for my sake please agree once that your Grand father was a Muslim real name Feroz Khan… https://t.co/IOoqfcdoR0","neutral"
"186",0,"Really Pappu https://t.co/BbQR2aXmm0","neutral"
"187",2,"@sampitroda Sir kindly shut your mouth 🤐 your comments are helping congress. Already in Punjab because of you BJP i… https://t.co/QEp3nt3wa4","positive"
"188",0,"RT @Shehzad_Ind: Hua toh Hua is the real face of ""Nyay"" that @RahulGandhi &amp; his family can offer to us...remember this always","neutral"
"189",0,"If BJP forms govt again, #RahulGandhi and #SamPitroda should be shot dead.","neutral"
"190",0,"RT @drshamamohd: 1984 shouldn’t have happened. Manmohan Singh had apologised for it , Sonia ji &amp; @RahulGandhi ji had expressed their regret…","neutral"
"191",2,"RT @HarsimratBadal_: Raja Sahib @capt_amarinder you admit 5 @INCIndia men led ‘84 ‘katleaam’ of Sikhs but continue to protect #JagdishTytle…","positive"
"192",0,"RT @rssurjewala: ""...Mr Modi has been outmaneuvered, outflanked and cut down, as far as the present and the future are concerned. So where…","neutral"
"193",1,"@RahulGandhi Why are you obsessed to give interview to only prestitutes like @sunetrac ?
Why can't to Arnab???","positive"
"194",-1,"@RahulGandhi Ya only winners get nervous expecting for a better performance... losers know that they're gonna lose then why to worry...lol","negative"
"195",0,"@rahulroushan @sampitroda should remember one more thing, #RajivGandhi is not the candidate here, #Pappu… https://t.co/W4akrMOMYI","neutral"
