"","score","text","polarity"
"50",0,"RT @ausnik: @SreeIyer1 @ShefVaidya @Swamy39 @narendramodi  RK Laxman 1987 on Rajiv Gandhi using Navy for holiday!! https://t.co/10N6Jbfmt8","neutral"
"51",-2,"RT @narendramodi: In Haryana, Congress brought a very poor culture of corruption and favouritism in governance matters. 

The BJP Governmen…","negative"
"52",1,"RT @Aamer_Javeed: #TimeMagazine has realised that @narendramodi's development agenda was all hot air. He is a communal bigot who does not d…","positive"
"53",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"54",0,"(2/2) Sultanate vs Poor, Elite vs Chaiwala, Leader in the making vs Leader NOW, Modi wave vs Future of India, Equal… https://t.co/RzUAMKTVRz","neutral"
"55",-1,"RT @AmbVPrakash: Appears that @INCIndia has an in-built system of damage infliction. In 2014 it was M S AIYAR's 'Chaiwala' comment on @nare…","negative"
"56",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"57",0,"RT @IAMAMITSUNEJA: @HardeepSPuri @PMOIndia @narendramodi @arunjaitley Dear leaders, the time for action is NOW. Tomorrow will be to no avai…","neutral"
"58",0,"RT @ausnik: @SreeIyer1 @ShefVaidya @Swamy39 @narendramodi  RK Laxman 1987 on Rajiv Gandhi using Navy for holiday!! https://t.co/10N6Jbfmt8","neutral"
"59",1,"RT @Aamer_Javeed: #TimeMagazine has realised that @narendramodi's development agenda was all hot air. He is a communal bigot who does not d…","positive"
"60",1,"RT @yogi_arwind: It has amazed me all my life how Adi Shankara must have traveled on feet, the length &amp; breadth of erstwhile India few time…","positive"
"61",2,"RT @PurushHiNahi: Pls Retweet &amp; Vote

Who has THE biggest contribution in BJP winning sure shot majority in 2019 Loksabha Elections?

#Poll…","positive"
"62",0,"@sankrant @SandeepLaw Time Magzine is not all that is West or USA. Many Americans don’t care what’s happening in In… https://t.co/ctlF742jGr","neutral"
"63",1,"RT @Aamer_Javeed: #TimeMagazine has realised that @narendramodi's development agenda was all hot air. He is a communal bigot who does not d…","positive"
"64",0,"RT @ShefVaidya: This has been one long, nerve-wrecking election. I cannot imagine how @narendramodi finds the stamina to address so many ra…","neutral"
"65",0,"RT @bhvishwa06: KISAAN SAMMAN SCHEME : THANK YOU MODI ji .I have been credited with SECOND INSTALLMENT 2000 RS in the span of almost a MONT…","neutral"
"66",1,"RT @Aamer_Javeed: #TimeMagazine has realised that @narendramodi's development agenda was all hot air. He is a communal bigot who does not d…","positive"
"67",1,"RT @narendramodi: This is how Bankura welcomed me...Grateful for the immense love! https://t.co/QpGx2LFkU7","positive"
"68",-1,"@advmonikaarora @narendramodi Mam but 50 crores ayshman Bharat only for bpl card holders not for the poor of Apl card holders","negative"
"69",-1,"RT @dharmadispatch: Why are scores of eyewitnesses, former personnel, etc coming out &amp; sharing details of #RajivGandhi's illegitimate perso…","negative"
"70",0,"RT @SatishJoshi_1: @Prof_Hariom @OmarAbdullah @MehboobaMufti This is how our India. People are miss using freedom and democracy. 

@narendr…","neutral"
"71",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"72",-1,"RT @KishanThar: @ashoswai @narendramodi sir your finance minister has done exactly what you have accused dead ex PM if India off.","negative"
"73",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"74",1,"RT @Shehzad_Ind: Sam Pitroda : My Hindi is not good ! I couldn't translate Bura ! I meant jo hua bura hua!

Gujarat elections2017 all over…","positive"
"75",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"76",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"77",1,"RT @yogi_arwind: It has amazed me all my life how Adi Shankara must have traveled on feet, the length &amp; breadth of erstwhile India few time…","positive"
"78",1,"RT @Aamer_Javeed: #TimeMagazine has realised that @narendramodi's development agenda was all hot air. He is a communal bigot who does not d…","positive"
"79",0,"RT @drsharma16: @narendramodi @arunjaitley @HardeepSPuri Today SC of India  said it's obligation of govt to help home buyers &amp; can't leave…","neutral"
"80",0,"RT @ShefVaidya: This has been one long, nerve-wrecking election. I cannot imagine how @narendramodi finds the stamina to address so many ra…","neutral"
"81",-1,"@divyaspandana @indcheated2014 @narendramodi @akshaykumar Canadian preaches nationalism &amp; dupes foolish politicians… https://t.co/y01bXudzNE","negative"
"82",0,"RT @Prof_Hariom: In Jammu, Toll Plaza Functional Since Years And Authorities Charging Toll Tax From Lakhs Of People, Including 1000s Devote…","neutral"
"83",0,"RT @ausnik: @SreeIyer1 @ShefVaidya @Swamy39 @narendramodi  RK Laxman 1987 on Rajiv Gandhi using Navy for holiday!! https://t.co/10N6Jbfmt8","neutral"
"84",0,"RT @koolpratt: #ResumeRRB7 #PMO #NarendraModi #RanjanGogoi #CJI #SupremeCourt
10k job seekers find a job with lots of hardwork but after su…","neutral"
"85",0,"@dharmadispatch @narendramodi Are we heading toward a 4/5th majority that will make implementing a HINDUTVA oriente… https://t.co/iL0V5h78Qh","neutral"
"86",0,"RT @manibhu: #ResumeRRB7 @ECISVEEP @INCIndia @narendramodi @BJP4India I am not going g to vote anyone because we were 10000 candidates suff…","neutral"
"87",0,"RT @manibhu: #ResumeRRB7 @narendramodi @RahulGandhi if we 10000 people are nothing for your election then we will not going to vote you on…","neutral"
"88",0,"@ianbremmer @TIME As an Indian I can say that modi  @narendramodi has unified Hindustan in the name of development.… https://t.co/3PD0dCcBec","neutral"
"89",-1,"@abpnewstv This is the first time when the Pakistan indirectly come with critical commentary about @narendramodi .… https://t.co/Hk1PxcbP0F","negative"
"90",0,"@asadowaisi @highmettle @PMOIndia Better Indians know that this screw head @narendramodi's party BJP was campaingin… https://t.co/fN9Y2iPLJp","neutral"
"91",0,"RT @firstpost: #NarendraModi has accused the late prime minister #RajivGandhi of using the warship #INSViraat as a “personal taxi”

https:/…","neutral"
"92",0,"RT @HarsimratBadal_: #NDA govt has met long standing demand &amp; done away with local black list covering #asylees. All #Punjabis who took #as…","neutral"
"93",2,"RT @officeofssbadal: I wholeheartedly welcome the notification by @narendramodi Govt to remove all hindrances for Sikhs living abroad on as…","positive"
"94",-2,"RT @narendramodi: In Haryana, Congress brought a very poor culture of corruption and favouritism in governance matters. 

The BJP Governmen…","negative"
"95",-1,"RT @Ishadewan51: @HardeepSPuri @arunjaitley @PMOIndia @narendramodi  
@IDBI_Bank
@TheOfficialSBI 
For every problem there is a solution.
Re…","negative"
"96",-1,"@brandonbuffard @varnishant @sambitswaraj @narendramodi Congress going to loose","negative"
"97",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"98",0,"RT @RJ26575755: @Salonig53590990 @narendramodi @INCIndia @the_hindu @RahulGandhi #resumeRRB7..pls help us🙏..waiting from 4 months😰","neutral"
"99",-1,"@ShefVaidya @narendramodi @narendramodi modi have united whole opposition together","negative"
"100",0,"RT @hiambuj: 5 minutes into the interview @Nidhi bombards the straight question, ""National security or DeMo, Jobs, economy"". &amp; Rebuttal on…","neutral"
"101",2,"@TIME @narendramodi This is the love Indian people have for their prime minister. Watch closely where Muslims hug h… https://t.co/sWbS6iogQc","positive"
"102",-1,"RT @dharmadispatch: Why are scores of eyewitnesses, former personnel, etc coming out &amp; sharing details of #RajivGandhi's illegitimate perso…","negative"
"103",-2,"RT @narendramodi: In Haryana, Congress brought a very poor culture of corruption and favouritism in governance matters. 

The BJP Governmen…","negative"
"104",1,"@Joydas @narendramodi 5 years challenge be like 🤣🤣🤣 https://t.co/aOICFVBrFO","positive"
"105",-2,"RT @narendramodi: In Haryana, Congress brought a very poor culture of corruption and favouritism in governance matters. 

The BJP Governmen…","negative"
"106",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"107",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"108",0,"Indian express article about #RajivViraatVacation They are now silent about it because they fear the truth will hel… https://t.co/bQOGyn92kL","neutral"
"109",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"110",1,"RT @ramsantoshreddy: Dear @RahulGandhi you have one hot news to point out our current PM @narendramodi ji..
Ask him about the current situa…","positive"
"111",0,"RT @NischalShetty: Dear @arunjaitley @narendramodi 

US company Square run by Twitter founder @jack reported $65.5M Bitcoin revenue for Q1…","neutral"
"112",0,"RT @nmrampuria: @moneycontrolcom @narendramodi @ArvindKejriwal Right about MMS 
But still a few question unanswered
1. Why very High inflat…","neutral"
"113",0,"@ncbn @narendramodi Yes sir","neutral"
"114",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"115",2,"RT @officeofssbadal: I wholeheartedly welcome the notification by @narendramodi Govt to remove all hindrances for Sikhs living abroad on as…","positive"
"116",0,"RT @ShefVaidya: This has been one long, nerve-wrecking election. I cannot imagine how @narendramodi finds the stamina to address so many ra…","neutral"
"117",0,"RT @ShefVaidya: Never understood why they call @narendramodi Divider-In-Chief, when he has managed to unite Mullahs, Missionaries, Marxists…","neutral"
"118",0,"@KdwivediVinod @sashakt8a @nalni_gupta @Pooja09876089 @SankarB78420183 @kirtipa123231 @Omkarku81454337 @FatyachandJ… https://t.co/7xLOQVL0vW","neutral"
"119",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"120",0,"RT @HarsimratBadal_: #NDA govt has met long standing demand &amp; done away with local black list covering #asylees. All #Punjabis who took #as…","neutral"
"121",0,"@suhani2498 @ShefVaidya @sherryontopp @MajorPoonia @Ra_Bies @TajinderBagga Isn’t it fascinating and tragic that Sik… https://t.co/juiAdUUgIw","neutral"
"122",-1,"RT @SwamiGeetika: ""During the time of elections, international agencies trying to create pressure &amp; manipulate as they don't want a strong…","negative"
"123",1,"RT @yogi_arwind: It has amazed me all my life how Adi Shankara must have traveled on feet, the length &amp; breadth of erstwhile India few time…","positive"
"124",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"125",0,"@ShashiTharoor It is your leader @RahulGandhi who brought the level of electioneering down, by repeatedly making bl… https://t.co/scCVaJLcLP","neutral"
"126",0,"RT @sNeHrIqUe9: @Salonig53590990 @narendramodi @INCIndia @the_hindu @RahulGandhi @Salonig53590990 @PMOIndia@INCIndia @the_hindu @RahulGandh…","neutral"
"127",0,"RT @VikasCh70419010: Thats why I Support Narendra Bhai Modi ji
@narendramodi

#JitegaModiJitegaBharat https://t.co/eV56SytTbL","neutral"
"128",0,"RT @narendramodi_in: An exciting, packed schedule for tomorrow on NaMo TV.

From Yoga to rallies of Shri @narendramodi and Shri @AmitShah,…","neutral"
"129",1,"RT @meeaaoow: @ashoswai @arunjaitley is another freebie, like @narendramodi and @DefenceMinIndia","positive"
"130",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"131",0,"RT @ShefVaidya: This has been one long, nerve-wrecking election. I cannot imagine how @narendramodi finds the stamina to address so many ra…","neutral"
"132",0,"@dharmadispatch @narendramodi Perfumed version😃very apt description 👍🏼","neutral"
"133",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"134",-1,"RT @dharmadispatch: Why are scores of eyewitnesses, former personnel, etc coming out &amp; sharing details of #RajivGandhi's illegitimate perso…","negative"
"135",0,"@shoiabarshad @TimesNow @narendramodi Can you remind us how did Gujarat riots start?

Do you even know how many Hin… https://t.co/Cu6d6awcmT","neutral"
"136",0,"RT @DrLalitShanware: @vijaykbandhu @HindiNews18 @BBCHindi @narendramodi @AmarUjalaNews Please mail on 
complaints@eci.gov.in
We would like…","neutral"
"137",0,"RT @Joydas: Hate King @narendramodi on the cover of Time Magazine. What a dishonour.... for the magazine!!! :-( https://t.co/zNNlvMqYfq","neutral"
"138",-1,"RT @SARVESH07895264: @IamDharmenderN @rashtrapatibhvn @narendramodi @MamataOfficial @MamataOfficial the biggest menace to the WB and India.…","negative"
"139",0,"(1/2) Why would TIME magazine release this now when nearly 90% of elections r done? Taseer's father is a Pak Muslim… https://t.co/DxMV2G5MZP","neutral"
"140",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"141",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"142",0,"RT @SARVESH07895264: @IamDharmenderN @narendramodi @AmitShah @BJP4India @nsitharaman @rajnathsingh @PiyushGoyal @smritiirani @p_sahibsingh…","neutral"
"143",-2,"@GautamGambhir @ArvindKejriwal @aap @narendramodi  If you want to hang yourself in public, first ask Modi to burn h… https://t.co/VHUtLnxM98","negative"
"144",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"145",0,"RT @ShefVaidya: Never understood why they call @narendramodi Divider-In-Chief, when he has managed to unite Mullahs, Missionaries, Marxists…","neutral"
"146",0,"RT @SwamiGeetika: @narendramodi #JitegaModiJitegaBharat 
Congress workers caught fooling locals taking their Aadhar Card and imp documents…","neutral"
"147",0,"Most of Illiterate Bhakts  doesn't know what is actually happening about TIMEs Magazine 
Because the whole article… https://t.co/eSHci6n25j","neutral"
"148",0,"RT @advmonikaarora: Report card of @narendramodi
35 crore Bank accounts
12 crore Mudra loans
9 crore toilets
7 crore gas connections
50 cro…","neutral"
"149",-2,"RT @narendramodi: She abuses me daily. 

Her party harasses innocent people and loots them. 

Under pressure from her, her administration d…","negative"
"150",-1,"RT @MakrandParanspe: Shows how Western media persists in its predictable distortions &amp; prejudices deploying re-Orientalists such a @AatishT…","negative"
"151",-1,"RT @Sanju_Verma_: I hope @Btvi puts out that part of the clip,where this man in upper corner window,spoke gibberish about @narendramodi &amp;wh…","negative"
"152",-2,"RT @noconversion: @akshaykumar  great interview with @narendramodi sending my real video, this is not a funny meme it is a burning issue ac…","negative"
"153",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"154",0,"@ncbn @narendramodi Babu garu, straight question. You were in alliance with the same PM for 4+ years.  During those… https://t.co/We055UXD1d","neutral"
"155",0,"RT @IamShikhaNebh: @IamDharmenderN @rashtrapatibhvn @narendramodi @MamataOfficial Absolutely!!","neutral"
"156",1,"@ausnik @Swamy39 @SreeIyer1 @ShefVaidya @narendramodi Like father like son. Always planning next vacation","positive"
"157",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"158",0,"@IndianExpress Can someone please add this to the @INCIndia #ModiLies list? Also invite @narendramodi as the prime act in a comedy show?","neutral"
"159",0,"@AmitShah and @narendramodi  are very sharp. The way they turned table for Punjab, Haryana and Delhi is unprecedent… https://t.co/Xgoo2fwswu","neutral"
"160",-1,"RT @MrGaNgEsHjHa: @Bholenath @TarekFatah @TIME @narendramodi The sanity brigade knows what’s white what’s black ...times ...ur sadly timele…","negative"
"161",0,"RT @ShefVaidya: Never understood why they call @narendramodi Divider-In-Chief, when he has managed to unite Mullahs, Missionaries, Marxists…","neutral"
"162",-1,"Why are scores of eyewitnesses, former personnel, etc coming out &amp; sharing details of #RajivGandhi's illegitimate p… https://t.co/ygck3yggGa","negative"
"163",0,"@ncbn @narendramodi Modi is not PM AFTER MAY 23","neutral"
"164",0,"RT @ShefVaidya: Never understood why they call @narendramodi Divider-In-Chief, when he has managed to unite Mullahs, Missionaries, Marxists…","neutral"
"165",0,"@EconomicTimes @narendramodi Time Magazine

Leftists tell you about article: 'India's Divider in Chief', written by… https://t.co/9yI3KNSaLr","neutral"
"166",0,"RT @SirAiyar: Dear @narendramodi

Date: 25th December 2015

Flight: Indian Air Force, Boeing 737 

For Which official visit you landed in L…","neutral"
"167",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"168",0,"RT @ausnik: @SreeIyer1 @ShefVaidya @Swamy39 @narendramodi  RK Laxman 1987 on Rajiv Gandhi using Navy for holiday!! https://t.co/10N6Jbfmt8","neutral"
"169",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"170",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"171",1,"RT @narendramodi: This is how Bankura welcomed me...Grateful for the immense love! https://t.co/QpGx2LFkU7","positive"
"172",2,"RT @Ra_THORe: At a rally organized in support of @GautamGambhir, I urged the voters of East Delhi to give him a clear mandate &amp; allow him t…","positive"
"173",0,"@raju @TIME @narendramodi Carrying Indians on cover doesn’t mean anything. They do it only in Asian edition, that t… https://t.co/mAAis1842H","neutral"
"174",0,"VOTING TOMORROW IN DELHI

I cut short my China visit and reaching New Delhi today to VOTE FOR my constituency leade… https://t.co/QQKg2GTQvh","neutral"
"175",-1,"RT @warispathan: TIME magazine's latest cover story is a bitter truth that we have to accept. @narendramodi is a blot to the 'idea of India…","negative"
"176",0,"RT @ausnik: @SreeIyer1 @ShefVaidya @Swamy39 @narendramodi  RK Laxman 1987 on Rajiv Gandhi using Navy for holiday!! https://t.co/10N6Jbfmt8","neutral"
"177",-2,"@bsesdelhi Do not give me new complaint number on my mobile 19051100250 at 5.07 am.

I already have complaint no 19… https://t.co/ejma5Ko1Xu","negative"
"178",1,"RT @divyaspandana: Admiral L Ramdas also clears the air on Rajiv Gandhiji’s trip to Lakshadweep. Now can the PrimeLiar @narendramodi and ev…","positive"
"179",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"180",1,"RT @Shehzad_Ind: Sam Pitroda : My Hindi is not good ! I couldn't translate Bura ! I meant jo hua bura hua!

Gujarat elections2017 all over…","positive"
"181",0,"RT @narendramodi: Sharing some glimpses from the rally in Hoshiarpur. The august presence of respected Badal Sahab made the rally even more…","neutral"
"182",-1,"RT @warispathan: TIME magazine's latest cover story is a bitter truth that we have to accept. @narendramodi is a blot to the 'idea of India…","negative"
"183",0,"RT @ShefVaidya: Never understood why they call @narendramodi Divider-In-Chief, when he has managed to unite Mullahs, Missionaries, Marxists…","neutral"
"184",0,"RT @ShefVaidya: This has been one long, nerve-wrecking election. I cannot imagine how @narendramodi finds the stamina to address so many ra…","neutral"
"185",1,"@TIME After Shri Lal Bahadur Shastri &amp; AB Vajpai, @narendramodi is the most adored and respected PM representing In… https://t.co/kes4wOnCVZ","positive"
"186",0,"RT @KaulSunil: #RKLaxman's cartoon on #RajivGandhi's Lakshadweep holiday-ing using #INSViraat &amp; other defence resources putting #India's se…","neutral"
"187",0,"RT @Gudie09: @DishaBehera1 @IamDharmenderN @rashtrapatibhvn @narendramodi @MamataOfficial Shame on 
@MamataOfficial 
 for this act of dicta…","neutral"
"188",0,"RT @divyaspandana: Yeh teek tha? @narendramodi you took a Canadian citizen @akshaykumar with you on-board INS Sumitra. 
#SabseBadaJhootaMod…","neutral"
"189",0,"RT @RosaryTweets: #TodaysSpecial
National Technology Day
@adgpi 
@isro 
@MarsOrbiter
@PMOIndia 
@narendramodi
@_DigitalIndia 
@makeinindia…","neutral"
"190",2,"RT @officeofssbadal: I wholeheartedly welcome the notification by @narendramodi Govt to remove all hindrances for Sikhs living abroad on as…","positive"
"191",0,"RT @HarsimratBadal_: #NDA govt has met long standing demand &amp; done away with local black list covering #asylees. All #Punjabis who took #as…","neutral"
"192",0,"RT @bprerna: I feel ashamed to have a PM like @narendramodi https://t.co/ag1HSplZuH","neutral"
"193",0,"RT @Rajeevit07: #NpsGoBack only #ops @vijaykbandhu @ZeeNewsHindi @RahulGandhi @narendramodi @PMOIndia @dna @dna @ndtvindia @NmopsInd https:…","neutral"
"194",1,"@IndiaToday Gambhir is BEST for DELHI. Atishi victim card won’t work. Looks like entire AAP is dramebaaz… https://t.co/O4omVGlFfL","positive"
"195",0,"@arunjaitley @narendramodi It’s now your turn to trumpet your own achievements. Don’t disappoint us. Tweet about la… https://t.co/LeT9VHL1XH","neutral"
"196",-1,"@timesofindia @RahulGandhi Why so freakin partial to @narendramodi ji? I hate Gandhi pariwar even more! I don't wan… https://t.co/6Gz1LplXAk","negative"
